No,Product Type,Primary,On Primary,Secondary,On Secondary,Accent,On Accent,Background,Foreground,Card,Card Foreground,Muted,Muted Foreground,Border,Destructive,On Destructive,Ring,Keywords,Notes
1,SaaS (General),#2563EB,#FFFFFF,#3C83F6,#000000,#EA580C,#0F172A,#FFFFFF,#1E293B,#FFFFFF,#1E293B,#E9EFF8,#000000,#E2E8F0,#DC2626,#FFFFFF,#2563EB,cloud platform service software tool,"Trust blue + orange CTA contrast [Accent adjusted from #F97316 for WCAG 3:1] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
2,Micro SaaS,#027CBA,#FFFFFF,#0D9DDD,#000000,#16A34A,#0F172A,#FFFFFF,#0C4A6E,#FFFFFF,#0C4A6E,#E8F2F8,#000000,#E5E5E5,#DC2626,#FFFFFF,#027CBA,cloud platform service software tool,"Tech sky blue + orange CTA; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
3,E-commerce,#04875F,#FFFFFF,#1BA778,#000000,#7C3AED,#FFFFFF,#FFFFFF,#064E3B,#FFFFFF,#064E3B,#E8F1F3,#000000,#E5E5E5,#DC2626,#FFFFFF,#059669,hyperlocal services,"Success green + urgency orange [Accent adjusted from #F97316 for WCAG 3:1]; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: e-commerce; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
4,E-commerce Luxury,#59493E,#FFFFFF,#44403C,#FFFFFF,#A16207,#FFFFFF,#FAFAF9,#0C0A09,#FFFFFF,#0C0A09,#E8ECF0,#000000,#D6D3D1,#DC2626,#FFFFFF,#59493E,boutique exclusive high-end premium upscale luxury premium brand,"Premium dark + gold accent [Accent adjusted from #CA8A04 for WCAG 3:1] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: e-commerce-luxury; Avoid: childcare|mass-market-discount; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
5,B2B Service,#203159,#FFFFFF,#334155,#FFFFFF,#0369A1,#FFFFFF,#FAFAF9,#020617,#FFFFFF,#020617,#F2F0EC,#000000,#E3E2DE,#DC2626,#FFFFFF,#203159,government public service,"Professional navy + blue CTA [High-risk replacement; AA text, component and focus contrast verified] | Scenario: b2b-service; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
6,Financial Dashboard,#3E5FAD,#FFFFFF,#48638E,#FFFFFF,#D97706,#0F172A,#020617,#F8FAFC,#0E1223,#F8FAFC,#282E48,#94A3B8,#354358,#EF4343,#000000,#3E5FAD,analytics bank banking data finance fintech metrics money monitor overview,"Dark bg + amber data highlights [High-risk replacement; AA text, component and focus contrast verified] | Scenario: finance|banking|wealth-management; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
7,Analytics Dashboard,#1E40AF,#FFFFFF,#3C83F6,#000000,#0D9488,#0F172A,#F8FAFC,#1E3A8A,#FFFFFF,#1E3A8A,#E9EEF6,#000000,#DBEAFE,#DC2626,#FFFFFF,#1E40AF,analytics chart dashboard data metrics monitor overview tracking,"Blue data + amber highlights [Accent adjusted from #F59E0B for WCAG 3:1] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
8,Healthcare App,#07819F,#FFFFFF,#34A1B2,#000000,#4F46E5,#FFFFFF,#FFFFFF,#164E63,#FFFFFF,#164E63,#E8F1F6,#000000,#E5E5E5,#DC2626,#FFFFFF,#0891B2,clinic health hospital medical wellness,"Calm cyan + health green; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: healthcare-app; Avoid: high-energy-gaming|flash-sale; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
9,Educational App,#1E40AF,#FFFFFF,#3C83F6,#000000,#EA580C,#0F172A,#FFFFFF,#1E3A8A,#FFFFFF,#1E3A8A,#E9EEF6,#000000,#BFDBFE,#DC2626,#FFFFFF,#1E40AF,education learn learning school study teaching,"Rich academic blue + energetic orange; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: education|learning|childcare; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
10,Creative Agency,#D71676,#FFFFFF,#F14BA2,#000000,#059669,#0F172A,#FDF2F8,#831843,#FFFFFF,#831843,#F1EEF5,#000000,#FBCFE8,#DC2626,#FFFFFF,#EC4899,advertising creative marketing promotion studio marketing agency,"Bold pink + cyan accent [Accent adjusted from #06B6D4 for WCAG 3:1] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: creative-agency; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
11,Portfolio/Personal,#3E3E59,#FFFFFF,#3F3F46,#FFFFFF,#2563EB,#FFFFFF,#FAFAFA,#09090B,#FFFFFF,#09090B,#E8ECF0,#000000,#E4E4E7,#DC2626,#FFFFFF,#3E3E59,personal project resume showcase work,"Monochrome + blue accent [High-risk replacement; AA text, component and focus contrast verified] | Scenario: portfolio-personal; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
12,Gaming,#803FEE,#FFFFFF,#A78BFA,#0F172A,#F43F5E,#0F172A,#0F0F23,#E2E8F0,#1E1C35,#E2E8F0,#31314A,#94A3B8,#5822AC,#EF4343,#000000,#803FEE,arcade entertainment fun game play puzzle,"Neon purple + rose action [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
13,Fintech/Crypto,#F59E0B,#0F172A,#FBBF24,#0F172A,#8655F6,#FFFFFF,#0F172A,#F8FAFC,#222735,#F8FAFC,#2E374D,#94A3B8,#3B4B62,#EF4343,#000000,#F59E0B,bank banking bitcoin blockchain cryptocurrency defi finance financial money web3,"Gold trust + purple tech [High-risk replacement; AA text, component and focus contrast verified] | Scenario: finance|banking|wealth-management; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
14,Social Media App,#DA1C46,#FFFFFF,#FA4C66,#000000,#2563EB,#FFFFFF,#FFF1F2,#881337,#FFFFFF,#881337,#F0ECF2,#000000,#FECDD3,#DC2626,#FFFFFF,#E11D48,social network community feed posts sharing followers,"Vibrant rose + engagement blue [High-risk replacement; AA text, component and focus contrast verified] | Scenario: social-media-app; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
15,Productivity Tool,#0B8177,#FFFFFF,#2E9E92,#000000,#EA580C,#0F172A,#FAFAFA,#134E4A,#FFFFFF,#134E4A,#E8F1F4,#000000,#E5E5E5,#DC2626,#FFFFFF,#0D9488,efficiency organize task tool work,"Teal focus + action orange [Accent adjusted from #F97316 for WCAG 3:1]; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: productivity-tool; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
